1,cmn,我們試試看！
2,cmn,我该去睡觉了。
3,cmn,你在干什麼啊？
4,cmn,這是什麼啊？
5,cmn,今天是６月１８号，也是Muiriel的生日！
6,cmn,生日快乐，Muiriel！
7,cmn,Muiriel现在20岁了。
8,cmn,"密码是""Muiriel""。"
9,cmn,我很快就會回來。
10,cmn,我不知道。
11,cmn,我不知道應該說什麼才好。
12,cmn,這個永遠完不了了。
13,cmn,我只是不知道應該說什麼而已……
14,cmn,那是一隻有惡意的兔子。
15,cmn,我以前在山里。
16,cmn,那是一张近照吗？
17,cmn,我不知道我有沒有時間。
18,cmn,剛才我的麥克風沒起作用，不知道為什麼。
19,cmn,到了最後，大家一定要靠自己學習。
20,cmn,世界上的教育都讓我失望。
21,cmn,选择什么是“对”或“错”是一项艰难的任务，我们却必须要完成它。
22,cmn,這樣做的話什麼都不會改變的。
23,cmn,這個要三十歐元。
24,cmn,我一天賺一百歐元。
25,cmn,也许我会马上放弃然后去睡一觉。
26,cmn,那是不會發生的。
27,cmn,我会尽量不打扰你复习。
28,cmn,不要擔心。
29,cmn,我很想你。
30,cmn,我明天回來的時候會跟他們聯絡。
31,cmn,我一直都比較喜歡神秘一點的人物。
32,cmn,你應該去睡覺了吧。
33,cmn,我要走了。
34,cmn,我請他們再寄給我一張票。
35,cmn,我不能活那種命。
36,cmn,我曾經想過當個太空物理學家。
37,cmn,我從來沒喜歡過生物學。
38,cmn,可惜这是真的。
39,cmn,大部份的人覺得我瘋了。
40,cmn,不，我不是！你才是！
41,cmn,那是我該說的話!
42,cmn,他在踢我！
43,cmn,你肯定吗？
44,cmn,那就表示有問題...
45,cmn,哦！有一隻蝴蝶！
46,cmn,趕快!
47,cmn,如果我可以像那樣的話...
48,cmn,你是在跟我開玩笑吧？！
49,cmn,我長大後想當國王。
50,cmn,我好胖哦。
51,cmn,那又怎樣?
52,cmn,我要把他射下來。
53,cmn,那是因為妳是女生。
54,cmn,我会不高兴，但我不会自杀。
55,cmn,以前讀高中的時候﹐我每天早上六點起床。
56,cmn,你問這個幹什麼?
57,cmn,你待了多久?
58,cmn,我不知道它是从哪里来的。
59,cmn,這個不重要。
60,cmn,哪裡有問題?
61,cmn,不要再把我当成“正常” 人!
62,cmn,所有被发明的都是真的。
63,cmn,感到惊讶、感到惊奇就是明白的开始。
64,cmn,宇宙毫无疑问是无限的。
65,cmn,要变得完美，她就是少了一个缺点。
66,cmn,然而，相反的理论往往也是真的。
67,cmn,我们看东西不是看其实质，而是以我们的主观意识看它们的。
68,cmn,世界就是一个疯子的囚笼。
69,cmn,我叫Jack。
70,cmn,从来就没有徒劳的爱情。
71,cmn,生活就是當你忙著進行你的計劃時總有其他的事情發生。
72,cmn,没有欲望就等于拥有。
73,cmn,聖誕節快樂！
74,cmn,罗马不是一天建成的。
75,cmn,你是从哪个国家来的？
77,deu,Lass uns etwas versuchen!
78,deu,Ich muss schlafen gehen.
80,deu,Was ist das?
81,deu,Heute ist der 18. Juni und das ist der Geburtstag von Muiriel!
82,deu,"Herzlichen Glückwunsch zum Geburtstag, Muiriel!"
83,deu,Muiriel ist jetzt 20.
84,deu,"Das Passwort ist ""Muiriel""."
85,deu,Ich werde bald zurück sein.
87,deu,Ich finde keine Worte.
88,deu,Das wird nie enden.
89,deu,"Ich weiß einfach nicht, was ich sagen soll."
90,deu,Das war ein böses Kaninchen.
91,deu,Ich war in den Bergen.
93,deu,"Ich weiß nicht, ob ich Zeit dazu habe."
94,deu,Aus irgendeinem Grund hat das Mikrofon gerade nicht funktioniert.
95,deu,Letztendlich muss jeder selbst lernen.
96,deu,Die Ausbildung in dieser Welt enttäuscht mich.
97,deu,Zum Lernen sollte man nicht gezwungen werden. Zum Lernen sollte man ermutigt werden.
98,deu,"Es ist eine schwere Aufgabe, zwischen ""richtig"" und ""falsch"" zu unterscheiden, aber man muss es tun."
99,deu,Das wird nichts ändern.
100,deu,Das wird 30 € kosten.
101,deu,Ich verdiene 100 Euro pro Tag.
102,deu,"Es kann sein, dass ich bald aufgebe und stattdessen ein Nickerchen mache."
103,deu,"Das liegt daran, dass du nicht allein sein willst."
104,deu,Das wird nicht passieren.
105,deu,Manchmal kann er ein seltsamer Junge sein.
106,deu,"Ich werde mir Mühe geben, dich nicht beim Lernen zu stören."
107,deu,"Ich kann mich nur fragen, ob es für alle anderen dasselbe ist."
108,deu,"Ich vermute, das ist anders, wenn du darüber längerfristig nachdenkst."
